"Run","teamC1","teamC1_gs","teamC1_gc","teamC1_di","teamC1_pts","teamD2","teamD2_gs","teamD2_gc","teamD2_di","teamD2_pts","teamA1","teamA1_gs","teamA1_gc","teamA1_di","teamA1_pts","teamB2","teamB2_gs","teamB2_gc","teamB2_di","teamB2_pts","teamB1","teamB1_gs","teamB1_gc","teamB1_di","teamB1_pts","teamA2","teamA2_gs","teamA2_gc","teamA2_di","teamA2_pts","teamD1","teamD1_gs","teamD1_gc","teamD1_di","teamD1_pts","teamC2","teamC2_gs","teamC2_gc","teamC2_di","teamC2_pts","teamE1","teamE1_gs","teamE1_gc","teamE1_di","teamE1_pts","teamF2","teamF2_gs","teamF2_gc","teamF2_di","teamF2_pts","teamG1","teamG1_gs","teamG1_gc","teamG1_di","teamG1_pts","teamH2","teamH2_gs","teamH2_gc","teamH2_di","teamH2_pts","teamF1","teamF1_gs","teamF1_gc","teamF1_di","teamF1_pts","teamE2","teamE2_gs","teamE2_gc","teamE2_di","teamE2_pts","teamH1","teamH1_gs","teamH1_gc","teamH1_di","teamH1_pts","teamG2","teamG2_gs","teamG2_gc","teamG2_di","teamG2_pts"
"65","France",7,2,5,7,"Croatia",4,4,0,4,"Russia",5,2,3,6,"Iran",3,4,-1,4,"Portugal",7,1,6,9,"Uruguay",4,4,0,6,"Argentina",6,3,3,7,"Denmark",6,4,2,5,"Brazil",10,1,9,9,"Sweden",5,8,-3,3,"Belgium",10,1,9,9,"Poland",3,5,-2,6,"Germany",10,2,8,9,"Switzerland",5,6,-1,4,"Colombia",6,3,3,7,"England",4,5,-1,4
"66","Peru",8,3,5,7,"Croatia",5,4,1,4,"Uruguay",8,2,6,9,"Spain",3,5,-2,4,"Portugal",9,1,8,9,"Russia",6,3,3,6,"Argentina",7,2,5,9,"France",6,5,1,6,"Brazil",7,4,3,5,"Sweden",3,4,-1,4,"England",8,3,5,9,"Poland",7,5,2,6,"Germany",7,2,5,9,"Switzerland",5,4,1,5,"Colombia",4,3,1,7,"Belgium",7,6,1,4
"67","France",6,4,2,5,"Nigeria",4,5,-1,4,"Uruguay",5,1,4,9,"Morocco",6,7,-1,4,"Portugal",7,3,4,9,"Russia",6,3,3,6,"Argentina",7,2,5,9,"Denmark",6,2,4,5,"Brazil",9,4,5,6,"Mexico",7,7,0,6,"Tunisia",3,2,1,6,"Senegal",4,7,-3,3,"Germany",8,4,4,9,"Costa Rica",6,4,2,6,"Poland",6,7,-1,9,"England",3,2,1,5
"68","Denmark",7,5,2,7,"Argentina",8,6,2,6,"Uruguay",6,2,4,7,"Portugal",5,4,1,6,"Spain",5,1,4,9,"Russia",5,4,1,6,"Croatia",8,3,5,9,"Denmark",6,4,2,6,"Brazil",8,6,2,7,"Germany",8,3,5,5,"Belgium",7,1,6,9,"Poland",6,5,1,6,"Mexico",5,2,3,7,"Switzerland",5,4,1,4,"Colombia",9,4,5,7,"England",5,3,2,6
"69","Peru",7,2,5,9,"Croatia",5,4,1,5,"Russia",6,1,5,9,"Portugal",4,5,-1,6,"Spain",8,1,7,9,"Uruguay",7,3,4,4,"Argentina",6,5,1,5,"France",7,4,3,6,"Brazil",4,3,1,6,"Germany",8,4,4,6,"England",9,2,7,9,"Poland",7,4,3,4,"Mexico",7,6,1,9,"Switzerland",6,3,3,6,"Colombia",7,4,3,9,"Belgium",4,4,0,6
"70","France",7,0,7,9,"Iceland",5,3,2,7,"Russia",9,0,9,9,"Spain",4,2,2,5,"Portugal",7,3,4,7,"Uruguay",6,5,1,6,"Argentina",7,4,3,7,"Australia",6,8,-2,3,"Brazil",8,5,3,9,"Mexico",8,3,5,7,"Belgium",5,2,3,9,"Colombia",6,4,2,5,"Germany",9,2,7,7,"Switzerland",6,5,1,4,"Poland",7,4,3,7,"England",6,4,2,6
"71","Peru",5,3,2,6,"Argentina",7,6,1,6,"Uruguay",8,3,5,7,"Spain",6,3,3,7,"Portugal",7,4,3,7,"Egypt",5,4,1,6,"Croatia",7,3,4,7,"Australia",4,5,-1,4,"Switzerland",5,1,4,9,"Mexico",5,4,1,6,"Belgium",8,3,5,9,"Colombia",6,5,1,5,"Germany",6,3,3,7,"Brazil",3,4,-1,4,"Poland",4,6,-2,7,"Tunisia",5,5,0,4
"72","France",6,3,3,6,"Croatia",3,2,1,5,"Russia",6,2,4,9,"Spain",7,5,2,5,"Portugal",9,3,6,7,"Egypt",7,5,2,6,"Argentina",5,2,3,5,"Denmark",5,3,2,6,"Brazil",6,3,3,9,"Mexico",5,3,2,4,"Belgium",6,2,4,7,"Poland",6,5,1,6,"Germany",9,2,7,9,"Switzerland",4,4,0,4,"Colombia",7,2,5,9,"Tunisia",5,4,1,5
"73","France",6,3,3,7,"Croatia",6,3,3,7,"Russia",8,1,7,7,"Spain",7,4,3,6,"Portugal",10,2,8,9,"Uruguay",6,2,4,7,"Argentina",5,1,4,7,"Peru",3,3,0,4,"Brazil",4,3,1,5,"Mexico",6,4,2,7,"Belgium",7,4,3,7,"Senegal",5,5,0,4,"Germany",10,4,6,7,"Costa Rica",4,2,2,5,"Poland",6,4,2,7,"Tunisia",2,3,-1,4
"74","France",8,4,4,9,"Croatia",6,4,2,5,"Uruguay",9,3,6,7,"Spain",4,4,0,4,"Portugal",6,3,3,7,"Russia",5,5,0,4,"Argentina",5,2,3,7,"Denmark",6,6,0,4,"Switzerland",7,2,5,7,"Sweden",5,6,-1,6,"Belgium",8,3,5,7,"Colombia",6,4,2,5,"Germany",9,5,4,6,"Brazil",8,4,4,6,"Poland",6,7,-1,7,"England",4,2,2,7
