"Run","teamC1","teamC1_gs","teamC1_gc","teamC1_di","teamC1_pts","teamD2","teamD2_gs","teamD2_gc","teamD2_di","teamD2_pts","teamA1","teamA1_gs","teamA1_gc","teamA1_di","teamA1_pts","teamB2","teamB2_gs","teamB2_gc","teamB2_di","teamB2_pts","teamB1","teamB1_gs","teamB1_gc","teamB1_di","teamB1_pts","teamA2","teamA2_gs","teamA2_gc","teamA2_di","teamA2_pts","teamD1","teamD1_gs","teamD1_gc","teamD1_di","teamD1_pts","teamC2","teamC2_gs","teamC2_gc","teamC2_di","teamC2_pts","teamE1","teamE1_gs","teamE1_gc","teamE1_di","teamE1_pts","teamF2","teamF2_gs","teamF2_gc","teamF2_di","teamF2_pts","teamG1","teamG1_gs","teamG1_gc","teamG1_di","teamG1_pts","teamH2","teamH2_gs","teamH2_gc","teamH2_di","teamH2_pts","teamF1","teamF1_gs","teamF1_gc","teamF1_di","teamF1_pts","teamE2","teamE2_gs","teamE2_gc","teamE2_di","teamE2_pts","teamH1","teamH1_gs","teamH1_gc","teamH1_di","teamH1_pts","teamG2","teamG2_gs","teamG2_gc","teamG2_di","teamG2_pts"
"146","France",9,2,7,9,"Croatia",5,4,1,5,"Uruguay",8,2,6,7,"Portugal",8,4,4,6,"Spain",8,4,4,9,"Egypt",5,4,1,5,"Argentina",6,3,3,5,"Denmark",5,9,-4,3,"Brazil",9,4,5,6,"Mexico",6,3,3,5,"Belgium",8,3,5,7,"Senegal",6,5,1,4,"Germany",7,4,3,7,"Switzerland",6,5,1,6,"Poland",5,5,0,7,"England",6,4,2,5
"147","France",6,4,2,7,"Iceland",3,3,0,4,"Egypt",3,1,2,7,"Spain",4,3,1,6,"Portugal",7,2,5,6,"Uruguay",5,4,1,4,"Argentina",10,3,7,9,"Denmark",4,3,1,5,"Switzerland",5,4,1,5,"Mexico",9,7,2,7,"England",5,3,2,7,"Colombia",6,3,3,5,"Germany",9,4,5,7,"Serbia",6,4,2,5,"Poland",6,5,1,5,"Belgium",7,2,5,6
"148","France",6,4,2,7,"Croatia",7,4,3,4,"Uruguay",11,2,9,9,"Portugal",7,5,2,6,"Spain",7,2,5,9,"Russia",4,6,-2,3,"Argentina",7,4,3,7,"Denmark",4,4,0,4,"Brazil",9,3,6,9,"Sweden",8,8,0,4,"Belgium",7,2,5,9,"Colombia",6,7,-1,5,"Germany",8,5,3,4,"Serbia",6,5,1,4,"Poland",8,3,5,7,"England",5,3,2,6
"149","Peru",6,5,1,6,"Croatia",6,3,3,6,"Uruguay",7,2,5,9,"Iran",2,4,-2,4,"Spain",5,3,2,7,"Egypt",5,6,-1,3,"Argentina",9,2,7,9,"France",6,5,1,4,"Brazil",7,4,3,6,"Germany",6,7,-1,4,"England",6,3,3,7,"Poland",6,7,-1,4,"Mexico",7,5,2,9,"Switzerland",4,4,0,4,"Colombia",7,3,4,9,"Belgium",5,3,2,4
"150","France",9,5,4,9,"Croatia",4,3,1,4,"Uruguay",9,3,6,7,"Portugal",4,4,0,4,"Spain",9,3,6,9,"Russia",5,3,2,6,"Argentina",6,3,3,5,"Denmark",8,7,1,4,"Brazil",6,4,2,5,"Sweden",8,6,2,6,"England",5,2,3,7,"Colombia",4,5,-1,5,"Germany",7,4,3,6,"Switzerland",6,4,2,5,"Poland",7,4,3,5,"Belgium",6,4,2,6
"151","France",7,4,3,7,"Argentina",7,4,3,6,"Russia",8,2,6,7,"Portugal",7,6,1,6,"Spain",9,4,5,9,"Uruguay",5,2,3,7,"Argentina",5,2,3,7,"Denmark",5,6,-1,4,"Brazil",8,5,3,7,"Sweden",6,4,2,5,"Belgium",6,2,4,7,"Colombia",7,5,2,5,"Germany",7,4,3,5,"Switzerland",6,5,1,6,"Poland",6,5,1,7,"England",7,3,4,7
"152","France",10,0,10,9,"Iceland",5,4,1,5,"Uruguay",10,0,10,9,"Portugal",9,6,3,6,"Spain",7,4,3,7,"Egypt",3,4,-1,4,"Argentina",6,5,1,5,"Peru",6,3,3,6,"Brazil",8,5,3,7,"Mexico",5,6,-1,4,"England",6,2,4,6,"Poland",4,8,-4,6,"Germany",7,4,3,7,"Switzerland",7,5,2,5,"Colombia",6,4,2,9,"Belgium",5,3,2,6
"153","France",7,4,3,9,"Argentina",5,3,2,6,"Russia",8,2,6,9,"Morocco",6,4,2,5,"Spain",6,2,4,7,"Uruguay",6,5,1,3,"Argentina",7,2,5,9,"Denmark",6,5,1,6,"Brazil",9,2,7,9,"Mexico",6,5,1,5,"Belgium",6,3,3,6,"Colombia",6,4,2,5,"Germany",8,2,6,7,"Costa Rica",8,4,4,6,"Poland",7,5,2,7,"England",5,4,1,6
"154","France",8,4,4,9,"Argentina",4,2,2,6,"Russia",5,1,4,7,"Spain",7,4,3,5,"Portugal",9,3,6,7,"Uruguay",8,4,4,7,"Croatia",6,2,4,7,"Peru",5,3,2,6,"Switzerland",5,5,0,6,"Mexico",4,5,-1,4,"Belgium",7,2,5,7,"Poland",8,7,1,6,"Germany",7,3,4,7,"Brazil",7,4,3,4,"Colombia",5,2,3,7,"Tunisia",3,4,-1,4
"155","France",9,1,8,9,"Croatia",6,4,2,4,"Egypt",5,1,4,9,"Spain",7,4,3,6,"Portugal",9,4,5,9,"Uruguay",7,5,2,6,"Argentina",5,4,1,6,"Australia",3,6,-3,4,"Brazil",7,3,4,7,"Germany",7,4,3,6,"England",10,2,8,9,"Poland",7,6,1,6,"Mexico",5,5,0,7,"Serbia",4,5,-1,6,"Colombia",8,2,6,9,"Tunisia",4,4,0,6
"156","Peru",7,4,3,9,"Croatia",5,2,3,5,"Uruguay",9,3,6,6,"Portugal",7,2,5,6,"Spain",4,2,2,7,"Egypt",5,5,0,6,"Argentina",4,3,1,5,"France",7,6,1,6,"Brazil",6,3,3,9,"Germany",8,5,3,6,"England",6,2,4,7,"Colombia",8,5,3,6,"Mexico",9,7,2,9,"Switzerland",6,3,3,6,"Poland",6,6,0,6,"Belgium",8,3,5,6
"157","France",7,5,2,7,"Iceland",3,3,0,6,"Russia",8,1,7,9,"Morocco",5,6,-1,4,"Spain",10,3,7,9,"Saudi Arabia",5,7,-2,4,"Argentina",7,4,3,6,"Peru",7,3,4,7,"Switzerland",8,3,5,9,"Germany",6,5,1,4,"Belgium",6,1,5,9,"Poland",5,6,-1,6,"Mexico",3,3,0,6,"Brazil",8,4,4,6,"Colombia",5,2,3,7,"England",4,1,3,6
"158","France",9,2,7,9,"Iceland",4,4,0,4,"Uruguay",6,2,4,7,"Portugal",9,4,5,6,"Spain",7,1,6,9,"Russia",8,4,4,6,"Argentina",5,4,1,6,"Denmark",4,5,-1,4,"Brazil",5,4,1,5,"Germany",10,4,6,6,"England",7,4,3,7,"Poland",6,4,2,6,"Mexico",8,8,0,7,"Costa Rica",6,4,2,5,"Colombia",6,4,2,7,"Panama",4,5,-1,4
"159","Peru",8,3,5,9,"Croatia",8,4,4,7,"Russia",10,4,6,9,"Spain",5,6,-1,4,"Portugal",11,3,8,7,"Uruguay",7,6,1,4,"Argentina",7,5,2,7,"France",7,6,1,4,"Brazil",7,3,4,6,"Germany",10,5,5,6,"Belgium",4,1,3,7,"Colombia",8,4,4,5,"Mexico",7,5,2,7,"Switzerland",6,6,0,4,"Poland",6,6,0,7,"England",4,4,0,4
"160","France",11,4,7,9,"Croatia",4,3,1,4,"Russia",5,0,5,9,"Iran",5,5,0,6,"Spain",6,2,4,6,"Uruguay",8,5,3,4,"Argentina",9,3,6,9,"Denmark",4,6,-2,4,"Brazil",7,3,4,7,"South Korea",5,6,-1,4,"Belgium",8,1,7,9,"Colombia",8,4,4,5,"Germany",8,4,4,9,"Switzerland",7,5,2,4,"Poland",7,7,0,7,"England",5,4,1,4
"161","Denmark",6,2,4,6,"Argentina",6,5,1,4,"Uruguay",9,5,4,7,"Portugal",7,3,4,6,"Spain",6,3,3,7,"Russia",7,4,3,6,"Argentina",5,3,2,6,"Peru",7,6,1,6,"Brazil",9,3,6,9,"Mexico",7,6,1,6,"England",4,1,3,5,"Senegal",5,8,-3,6,"Germany",8,3,5,7,"Switzerland",5,4,1,4,"Poland",6,6,0,9,"Belgium",5,3,2,5
"162","Denmark",5,2,3,7,"Croatia",4,2,2,6,"Russia",11,2,9,9,"Spain",7,2,5,6,"Portugal",7,6,1,6,"Uruguay",6,6,0,3,"Argentina",4,2,2,7,"Peru",5,4,1,6,"Brazil",8,2,6,9,"Mexico",6,7,-1,6,"Belgium",7,2,5,9,"Senegal",6,3,3,6,"Germany",8,4,4,6,"Switzerland",6,6,0,3,"Poland",5,2,3,9,"England",4,4,0,4
"163","France",8,5,3,7,"Croatia",5,4,1,6,"Uruguay",9,2,7,9,"Portugal",4,6,-2,3,"Spain",8,1,7,9,"Russia",7,4,3,6,"Argentina",7,4,3,7,"Peru",8,4,4,7,"Brazil",7,7,0,6,"Mexico",4,5,-1,4,"England",6,0,6,9,"Poland",7,3,4,4,"Germany",8,3,5,9,"Switzerland",5,2,3,6,"Colombia",5,5,0,7,"Belgium",6,5,1,6
"164","France",10,3,7,9,"Croatia",5,3,2,6,"Russia",8,3,5,7,"Spain",6,3,3,5,"Portugal",6,4,2,7,"Egypt",4,5,-1,6,"Argentina",6,2,4,7,"Peru",6,5,1,4,"Brazil",5,2,3,5,"Mexico",7,6,1,6,"Belgium",6,4,2,7,"Colombia",6,3,3,5,"Germany",5,4,1,6,"Switzerland",4,2,2,4,"Poland",5,8,-3,7,"England",6,3,3,7
"165","France",8,4,4,7,"Croatia",8,2,6,6,"Russia",9,3,6,7,"Portugal",5,4,1,6,"Spain",9,2,7,9,"Uruguay",5,2,3,5,"Argentina",6,5,1,6,"Peru",6,5,1,5,"Brazil",7,4,3,6,"Germany",6,4,2,4,"England",7,1,6,7,"Poland",6,5,1,4,"Mexico",5,4,1,6,"Switzerland",5,3,2,6,"Colombia",8,4,4,9,"Belgium",7,6,1,6
"166","France",8,3,5,9,"Croatia",4,3,1,4,"Russia",7,2,5,6,"Portugal",5,3,2,5,"Spain",7,2,5,7,"Uruguay",6,4,2,6,"Argentina",6,5,1,5,"Peru",4,4,0,4,"Brazil",7,3,4,9,"South Korea",3,5,-2,4,"England",6,2,4,9,"Poland",5,5,0,6,"Germany",8,2,6,9,"Costa Rica",5,3,2,6,"Colombia",5,4,1,9,"Belgium",6,4,2,6
"167","Peru",10,3,7,9,"Argentina",6,4,2,6,"Russia",8,2,6,9,"Iran",4,5,-1,6,"Spain",8,2,6,9,"Uruguay",5,6,-1,3,"Croatia",7,2,5,7,"France",4,5,-1,6,"Brazil",9,5,4,6,"Sweden",5,4,1,6,"Belgium",7,4,3,7,"Colombia",5,4,1,5,"Germany",12,4,8,9,"Switzerland",7,6,1,6,"Poland",7,6,1,7,"Tunisia",5,4,1,4
"168","Peru",7,3,4,7,"Argentina",4,2,2,6,"Uruguay",8,3,5,9,"Portugal",6,6,0,4,"Spain",6,2,4,7,"Egypt",6,5,1,6,"Croatia",5,3,2,7,"France",6,3,3,5,"Brazil",9,1,8,9,"Mexico",8,8,0,6,"Belgium",9,6,3,7,"Poland",4,5,-1,6,"Germany",11,4,7,9,"Switzerland",5,4,1,6,"Colombia",6,3,3,7,"Tunisia",4,4,0,4
"169","France",8,2,6,7,"Croatia",6,2,4,7,"Russia",8,3,5,9,"Portugal",7,3,4,6,"Spain",5,1,4,7,"Uruguay",7,6,1,4,"Argentina",6,4,2,7,"Denmark",4,7,-3,4,"Brazil",6,3,3,9,"Germany",5,4,1,4,"Belgium",9,2,7,9,"Poland",4,4,0,6,"Sweden",6,5,1,6,"Switzerland",4,5,-1,2,"Colombia",8,1,7,9,"Tunisia",3,5,-2,4
"170","France",10,5,5,7,"Croatia",4,6,-2,4,"Russia",8,3,5,6,"Portugal",6,2,4,7,"Spain",8,3,5,7,"Uruguay",6,5,1,6,"Argentina",9,2,7,7,"Denmark",6,3,3,5,"Brazil",11,3,8,9,"Mexico",7,8,-1,6,"Belgium",8,3,5,7,"Senegal",6,8,-2,4,"Germany",7,5,2,6,"Switzerland",6,6,0,6,"Poland",6,8,-2,9,"Tunisia",7,5,2,7
"171","France",8,3,5,7,"Nigeria",4,5,-1,6,"Russia",6,2,4,6,"Portugal",6,3,3,6,"Spain",9,2,7,9,"Uruguay",6,4,2,6,"Argentina",6,2,4,6,"Denmark",5,8,-3,4,"Brazil",9,3,6,9,"Mexico",4,4,0,5,"Belgium",7,3,4,7,"Colombia",7,4,3,5,"Germany",6,4,2,5,"Switzerland",6,5,1,4,"Poland",4,2,2,5,"England",3,2,1,5
"172","France",10,3,7,6,"Croatia",7,5,2,5,"Russia",9,4,5,6,"Portugal",6,4,2,6,"Spain",5,4,1,9,"Uruguay",6,4,2,6,"Argentina",7,5,2,7,"Denmark",7,6,1,6,"Brazil",6,2,4,6,"Sweden",3,3,0,6,"England",7,2,5,7,"Senegal",6,5,1,5,"Germany",10,0,10,9,"Switzerland",4,3,1,5,"Poland",5,4,1,7,"Panama",4,2,2,4
"173","France",7,4,3,7,"Croatia",5,5,0,3,"Russia",8,4,4,7,"Spain",7,5,2,5,"Portugal",8,3,5,7,"Uruguay",7,4,3,5,"Argentina",7,3,4,7,"Denmark",7,6,1,6,"Brazil",8,5,3,6,"Sweden",4,4,0,6,"England",8,0,8,9,"Colombia",3,2,1,5,"Germany",9,1,8,9,"Serbia",4,4,0,6,"Poland",6,7,-1,7,"Belgium",6,5,1,6
"174","France",8,3,5,6,"Croatia",6,4,2,6,"Russia",9,1,8,9,"Spain",6,3,3,7,"Portugal",5,3,2,7,"Egypt",3,4,-1,4,"Argentina",6,2,4,9,"Peru",5,3,2,6,"Switzerland",8,3,5,9,"Mexico",5,6,-1,4,"England",9,1,8,9,"Senegal",4,4,0,6,"Germany",8,4,4,9,"Brazil",8,4,4,6,"Poland",8,4,4,9,"Belgium",6,4,2,6
"175","France",9,4,5,9,"Iceland",3,1,2,5,"Russia",11,3,8,9,"Spain",5,4,1,4,"Portugal",8,1,7,9,"Uruguay",7,4,3,6,"Croatia",4,2,2,7,"Australia",7,7,0,4,"Brazil",7,2,5,7,"Sweden",4,6,-2,4,"Belgium",8,5,3,6,"Colombia",6,5,1,5,"Germany",10,5,5,6,"Serbia",5,5,0,4,"Poland",6,3,3,5,"Tunisia",4,3,1,6
"176","France",5,3,2,7,"Croatia",5,3,2,5,"Russia",7,0,7,9,"Spain",5,4,1,5,"Portugal",8,2,6,7,"Uruguay",6,1,5,6,"Argentina",5,3,2,6,"Peru",8,4,4,7,"Brazil",7,3,4,9,"Mexico",7,6,1,6,"England",6,1,5,9,"Japan",2,5,-3,4,"Germany",10,3,7,9,"Switzerland",4,3,1,6,"Poland",4,3,1,9,"Belgium",7,5,2,6
"177","France",7,1,6,9,"Croatia",4,4,0,4,"Russia",9,3,6,7,"Portugal",6,6,0,4,"Spain",10,3,7,9,"Egypt",5,5,0,6,"Argentina",7,2,5,7,"Australia",4,6,-2,3,"Switzerland",6,5,1,6,"Sweden",4,5,-1,3,"Belgium",7,3,4,7,"Japan",5,4,1,5,"Germany",9,1,8,9,"Costa Rica",7,6,1,5,"Poland",4,6,-2,7,"England",5,1,4,6
"178","Denmark",4,2,2,7,"Croatia",6,5,1,6,"Russia",9,2,7,9,"Spain",5,4,1,6,"Portugal",8,3,5,9,"Egypt",3,3,0,6,"Argentina",9,4,5,7,"Peru",6,4,2,7,"Brazil",5,3,2,7,"Mexico",7,7,0,7,"Belgium",7,2,5,7,"Poland",4,5,-1,4,"Germany",9,4,5,7,"Switzerland",3,3,0,4,"Colombia",5,1,4,9,"England",4,3,1,5
"179","Denmark",8,6,2,7,"Croatia",5,3,2,4,"Egypt",5,2,3,7,"Iran",2,3,-1,4,"Spain",7,2,5,9,"Uruguay",7,5,2,6,"Argentina",9,4,5,7,"France",7,6,1,4,"Brazil",6,3,3,7,"Sweden",7,6,1,5,"Belgium",9,3,6,9,"Colombia",6,7,-1,5,"Germany",8,4,4,7,"Switzerland",4,2,2,7,"Poland",7,3,4,7,"England",5,4,1,6
"180","Peru",8,4,4,7,"Croatia",5,2,3,6,"Uruguay",6,3,3,7,"Portugal",2,3,-1,4,"Spain",6,0,6,9,"Russia",7,5,2,6,"Argentina",10,5,5,9,"Denmark",7,5,2,5,"Switzerland",6,2,4,9,"Sweden",6,6,0,4,"England",6,4,2,6,"Colombia",7,2,5,5,"Germany",8,4,4,6,"Brazil",7,6,1,4,"Poland",5,5,0,5,"Tunisia",3,2,1,5
"181","France",8,2,6,9,"Argentina",5,3,2,6,"Uruguay",8,3,5,7,"Spain",6,6,0,4,"Portugal",8,2,6,7,"Russia",5,3,2,6,"Croatia",6,2,4,7,"Australia",5,6,-1,4,"Brazil",7,5,2,5,"Mexico",6,7,-1,6,"Belgium",8,3,5,7,"Poland",6,7,-1,6,"Germany",7,2,5,7,"Switzerland",5,5,0,4,"Colombia",6,2,4,7,"England",4,3,1,5
"182","France",10,2,8,6,"Argentina",7,4,3,6,"Russia",8,2,6,9,"Iran",4,2,2,4,"Spain",7,4,3,7,"Uruguay",4,5,-1,3,"Croatia",6,2,4,9,"Australia",4,8,-4,4,"Brazil",6,4,2,6,"Germany",7,6,1,6,"Belgium",5,2,3,7,"Senegal",3,6,-3,4,"Mexico",9,9,0,9,"Switzerland",6,4,2,5,"Poland",4,5,-1,9,"England",3,3,0,4
"183","Denmark",7,2,5,6,"Croatia",5,4,1,4,"Uruguay",8,2,6,9,"Portugal",8,4,4,6,"Spain",6,3,3,9,"Russia",9,4,5,6,"Argentina",6,3,3,7,"France",4,2,2,6,"Brazil",8,4,4,7,"Germany",8,4,4,5,"England",5,1,4,7,"Colombia",5,4,1,5,"Mexico",7,7,0,7,"Costa Rica",7,4,3,7,"Poland",7,8,-1,7,"Belgium",7,4,3,6
"184","France",8,5,3,7,"Croatia",5,6,-1,6,"Russia",8,2,6,9,"Spain",5,4,1,6,"Portugal",7,4,3,9,"Uruguay",3,5,-2,3,"Argentina",8,2,6,9,"Peru",7,4,3,4,"Costa Rica",6,4,2,7,"Sweden",5,4,1,4,"Belgium",5,2,3,7,"Poland",7,4,3,4,"Germany",5,2,3,9,"Brazil",6,4,2,4,"Colombia",6,3,3,9,"England",5,4,1,5
"185","Denmark",6,2,4,6,"Croatia",6,4,2,6,"Russia",5,2,3,6,"Portugal",5,4,1,6,"Spain",5,3,2,7,"Uruguay",6,5,1,6,"Argentina",9,4,5,9,"France",4,3,1,5,"Brazil",7,6,1,6,"Mexico",6,5,1,6,"England",3,0,3,9,"Poland",7,5,2,6,"Germany",11,4,7,9,"Switzerland",7,5,2,6,"Colombia",6,5,1,9,"Belgium",5,2,3,6
"186","France",9,4,5,9,"Argentina",7,2,5,6,"Uruguay",6,3,3,7,"Spain",4,3,1,5,"Portugal",7,5,2,5,"Russia",8,3,5,6,"Croatia",5,3,2,7,"Peru",5,3,2,6,"Brazil",8,5,3,9,"Germany",7,4,3,6,"Belgium",7,1,6,9,"Colombia",5,4,1,5,"Mexico",9,6,3,9,"Switzerland",6,3,3,6,"Senegal",5,0,5,7,"Panama",2,2,0,6
"187","France",6,6,0,6,"Croatia",6,3,3,7,"Russia",8,4,4,5,"Portugal",9,3,6,7,"Spain",10,3,6,7,"Uruguay",8,7,1,5,"Argentina",7,2,5,7,"Peru",7,4,3,6,"Brazil",6,2,4,7,"Sweden",2,6,-4,3,"Belgium",7,3,4,7,"Poland",6,3,3,3,"Germany",12,2,10,9,"Switzerland",6,5,1,4,"Colombia",6,5,1,9,"England",6,4,2,5
"188","France",8,3,5,9,"Iceland",3,3,0,4,"Russia",10,4,6,7,"Spain",5,2,3,6,"Portugal",5,3,2,6,"Egypt",7,5,2,6,"Croatia",7,3,4,7,"Peru",5,2,3,6,"Costa Rica",4,2,2,7,"Sweden",6,3,3,6,"Belgium",7,2,5,6,"Poland",3,5,-2,6,"Germany",9,2,7,9,"Brazil",5,5,0,4,"Colombia",9,4,5,9,"Tunisia",5,4,1,6
"189","Peru",7,3,4,9,"Iceland",3,4,-1,4,"Uruguay",6,1,5,7,"Spain",6,3,3,6,"Portugal",10,3,7,9,"Russia",7,3,4,6,"Argentina",7,2,5,7,"France",6,4,2,6,"Brazil",10,4,6,7,"Germany",8,2,6,6,"England",6,3,3,9,"Senegal",5,3,2,7,"Mexico",7,3,4,9,"Switzerland",7,5,2,5,"Poland",6,2,4,7,"Tunisia",5,3,2,6
"190","Denmark",6,2,4,7,"Croatia",5,2,3,5,"Russia",7,3,5,9,"Spain",6,3,3,6,"Portugal",11,1,10,9,"Uruguay",7,7,0,6,"Argentina",6,2,4,7,"France",5,4,1,5,"Brazil",7,3,4,7,"Mexico",5,5,0,6,"Belgium",8,3,5,9,"Colombia",5,5,0,3,"Germany",6,4,2,6,"Switzerland",7,6,1,4,"Poland",6,7,-1,7,"England",4,3,1,6
"191","France",8,3,5,7,"Argentina",5,3,2,4,"Russia",5,0,5,9,"Portugal",6,2,4,6,"Spain",6,4,2,7,"Egypt",4,5,-1,4,"Croatia",8,3,5,7,"Denmark",6,6,0,6,"Switzerland",7,3,4,7,"Germany",7,5,2,5,"Belgium",10,3,7,9,"Senegal",4,5,-1,6,"Mexico",9,5,4,7,"Brazil",6,5,1,6,"Poland",7,5,2,9,"Tunisia",3,4,-1,4
"192","France",11,5,6,7,"Croatia",6,3,3,5,"Russia",3,0,3,9,"Portugal",5,5,0,4,"Spain",8,2,6,7,"Uruguay",8,5,3,6,"Croatia",7,4,3,7,"Peru",7,5,2,5,"Brazil",8,3,5,9,"Mexico",5,3,2,6,"Belgium",7,3,4,9,"Senegal",1,4,-3,3,"Germany",10,4,6,6,"Switzerland",5,4,1,4,"Poland",6,4,2,9,"Tunisia",4,5,-1,4
"193","Denmark",5,2,3,7,"Croatia",2,4,-2,4,"Russia",7,3,4,7,"Iran",4,2,2,4,"Spain",7,4,2,9,"Uruguay",7,4,3,5,"Argentina",7,3,4,7,"Peru",5,2,3,7,"Brazil",10,0,10,9,"Germany",4,3,1,4,"Belgium",7,3,4,7,"Senegal",7,7,0,4,"Mexico",5,3,2,7,"Costa Rica",5,2,3,6,"Poland",4,5,-1,9,"England",8,6,2,7
"194","Peru",8,3,5,9,"Argentina",5,4,1,4,"Uruguay",7,2,5,7,"Spain",5,3,2,5,"Portugal",7,2,5,7,"Russia",5,2,3,6,"Croatia",6,3,3,7,"France",5,3,2,4,"Brazil",6,3,3,6,"Sweden",6,5,1,6,"Belgium",7,2,5,7,"Senegal",5,7,-2,6,"Germany",8,6,2,7,"Switzerland",4,4,0,4,"Poland",7,6,1,9,"England",6,2,4,7
"195","Peru",6,3,3,7,"Argentina",4,6,-2,4,"Uruguay",12,5,7,9,"Portugal",8,3,5,6,"Spain",6,4,2,6,"Russia",8,5,3,6,"Croatia",8,3,5,7,"France",6,4,2,5,"Brazil",11,3,8,9,"Sweden",7,8,-1,4,"Belgium",6,4,2,5,"Poland",5,3,2,4,"Germany",9,6,3,7,"Serbia",5,8,-3,4,"Colombia",6,1,5,9,"England",5,3,2,5
"196","Peru",6,3,3,7,"Argentina",2,5,-3,3,"Uruguay",7,2,5,6,"Spain",5,3,2,6,"Portugal",9,3,6,9,"Egypt",7,3,4,6,"Croatia",6,0,6,9,"France",6,4,2,6,"Brazil",9,3,6,9,"Sweden",7,5,2,6,"Belgium",6,2,4,9,"Colombia",5,2,3,5,"Germany",8,2,6,9,"Costa Rica",8,4,4,6,"Poland",8,5,3,7,"England",4,2,2,6
"197","France",7,6,1,6,"Argentina",3,3,0,4,"Uruguay",7,1,6,9,"Spain",6,5,1,4,"Portugal",9,4,5,9,"Egypt",6,3,3,6,"Croatia",6,1,5,7,"Denmark",7,5,2,6,"Brazil",5,2,3,7,"Mexico",4,6,-2,6,"England",7,1,6,9,"Colombia",4,2,2,5,"Germany",8,3,5,6,"Switzerland",4,3,1,4,"Poland",7,6,1,7,"Belgium",4,3,1,6
"198","Peru",7,4,3,7,"Argentina",5,4,1,6,"Uruguay",8,2,6,7,"Portugal",6,4,2,6,"Spain",7,5,2,7,"Egypt",5,3,2,4,"Croatia",4,1,3,9,"France",8,4,4,6,"Brazil",6,3,3,6,"Germany",8,3,5,6,"England",7,2,5,9,"Japan",2,5,-3,4,"Mexico",7,7,0,7,"Switzerland",5,2,3,6,"Poland",5,3,2,7,"Belgium",4,3,1,4
"199","France",7,4,3,6,"Argentina",5,3,2,6,"Uruguay",8,1,7,7,"Spain",6,3,3,5,"Portugal",5,1,4,7,"Saudi Arabia",3,5,-2,4,"Croatia",3,2,1,6,"Peru",8,6,2,6,"Brazil",6,2,4,7,"Sweden",5,2,3,5,"England",5,4,1,5,"Senegal",4,5,-1,4,"Mexico",6,5,1,7,"Costa Rica",7,3,4,6,"Poland",4,4,0,7,"Tunisia",4,3,1,5
"200","France",6,2,4,9,"Argentina",4,4,0,3,"Uruguay",9,2,7,9,"Portugal",7,4,3,6,"Spain",7,3,4,7,"Egypt",6,5,1,6,"Croatia",4,1,3,5,"Denmark",5,5,0,4,"Brazil",10,3,7,9,"Mexico",8,8,0,6,"Belgium",6,3,3,9,"Poland",7,6,1,4,"Germany",10,4,6,9,"Switzerland",5,5,0,4,"Colombia",7,4,3,9,"Tunisia",4,4,0,4
"201","France",7,3,4,7,"Argentina",6,5,1,5,"Uruguay",12,1,11,9,"Spain",6,3,3,6,"Portugal",8,4,4,9,"Russia",8,5,3,6,"Croatia",6,3,3,7,"Peru",6,5,1,5,"Brazil",7,4,3,9,"Germany",9,4,5,6,"Belgium",7,3,4,7,"Senegal",6,8,-2,6,"Mexico",8,5,3,9,"Costa Rica",4,4,0,4,"Poland",6,8,-2,9,"England",5,2,3,7
"202","Peru",9,7,2,7,"Croatia",4,4,0,4,"Uruguay",8,3,5,7,"Portugal",4,3,1,5,"Spain",7,2,5,7,"Egypt",7,4,3,4,"Argentina",9,2,7,9,"France",8,4,4,6,"Brazil",7,4,3,9,"South Korea",4,6,-2,4,"England",8,3,5,7,"Poland",6,4,2,6,"Germany",11,0,11,9,"Costa Rica",7,4,3,6,"Colombia",7,1,6,9,"Belgium",4,1,3,7
"203","Peru",7,5,2,6,"Argentina",4,3,1,5,"Uruguay",8,2,6,9,"Portugal",5,4,1,4,"Spain",7,3,4,7,"Egypt",6,5,1,4,"Croatia",6,3,3,7,"Denmark",6,5,1,5,"Brazil",4,4,0,6,"Sweden",4,5,-1,4,"England",9,4,5,7,"Poland",5,3,2,6,"Germany",6,3,3,7,"Switzerland",7,5,2,6,"Colombia",4,3,1,9,"Belgium",6,3,3,7
"204","France",8,5,3,9,"Argentina",5,3,2,7,"Egypt",8,0,8,9,"Portugal",6,2,4,6,"Spain",5,3,2,7,"Russia",4,6,-2,3,"Croatia",10,4,6,7,"Denmark",8,5,3,6,"Costa Rica",6,3,3,7,"Mexico",8,9,-1,6,"England",4,4,0,5,"Poland",5,3,2,6,"Germany",9,7,2,6,"Brazil",4,3,1,4,"Colombia",7,4,3,9,"Panama",2,3,-1,4
"205","France",10,4,6,9,"Argentina",6,3,3,6,"Uruguay",9,5,4,6,"Spain",5,3,2,5,"Portugal",6,3,3,7,"Egypt",6,3,3,6,"Croatia",7,4,3,7,"Peru",6,6,0,4,"Brazil",9,1,8,7,"Sweden",7,8,-1,4,"England",10,3,7,7,"Poland",5,6,-1,6,"Germany",9,3,6,9,"Switzerland",5,2,3,7,"Colombia",7,4,3,9,"Belgium",5,3,2,5
